video_id,title,description,channel_id,category_id,language,channel,published_at,duration,views,likes,comments,Engagement total,Taux d'engagement (%),duration_td,Durée (s)
-khN-1sBess,Vous pensez qu’il a perdu quoi ? 😂 #divertissement #waynestv #rire #sketch #drole #humour ￼,,UCQ-EzEQR_4nJfjASQEvDz_A,22,fr,paul roja,2026-01-20T11:48:25Z,PT13S,21512,107,7,114,0.5299367794719226,0 days 00:00:13,13
rH7wT7TwiNM,Le ninja le plus dangereux,,UC5fZptHCu8qpCWBQ-6WiGdw,22,fr,V Film,2025-03-25T14:01:00Z,PT53S,4560728,102854,238,103092,2.2604285982413335,0 days 00:00:53,53
NMA9uHhx4sE,Baby Baby Baby Challenge,,UClPGrZvHId38DxlURApQu8A,24,en,Deni Medeiros,2026-01-12T13:30:26Z,PT1M17S,8006373,119418,226,119644,1.4943595558188458,0 days 00:01:17,77
oDaAtVvEHPc,WENN ICH DU WÄRE… (extrem lustig 😂!!) #turnen #challenge #lustig #backlfip #salto #airtrack,,UCWavuOpKwQH72kaEAkDNqyA,24,de,Merle Loosen,2025-09-28T11:01:33Z,PT42S,5833145,64432,197,64629,1.1079614856136784,0 days 00:00:42,42
mKWrxAMokyU,Viral Shorts🫶🏻|GAME ZONE| #viralshorts #challenge #games #trending,,UCTzTT35pjMGxaK7w57SiCaA,23,hi,Time Waste,2026-01-22T06:16:01Z,PT57S,5893,101,2,103,1.747836416086883,0 days 00:00:57,57
R_m196luRxM,tu préfère et vs #anime #divertissement #shortvideo #pourtoi #tupreferes #quizanime,,UCatRFEqwhUS6tBNwIejEU0Q,1,fr,EMMXGUIF,2025-12-21T00:02:00Z,PT1M10S,4373,386,8,394,9.009833066544706,0 days 00:01:10,70
WN0B7BiucNw,Un combattant pro analyse des films | Science vs Fiction,"Merci à N26 de soutenir la chaîne !

Profitez de 20€ offerts lors de l'ouverture de votre compte N26 avec le code ""EXPLORE20"" (offre valable jusqu'au 5 octobre 2025) : https://n26-eu.c2nwa3.net/c/6275052/3132760/29285

Dans ce nouvel épisode de Science vs Fiction, Cyril Benzaquen, 7 fois champion du monde de kickboxing et ancien champion du monde de boxe muay-thaï, analyse des scènes de combat dans des films.

“Rocky”, “Creed ”, “Mission Impossible”, “Million Dollar Baby”, ou encore “Road House”, “Monkey Man” et “Bloodsport” : à quel point les combats dans ces œuvres sont-ils réalistes ?
Comment surmonter la peur quand on est un combattant pro ? Comment ne pas s'effondrer quand on perd ? Qu’est-ce qui se passe dans la tête d’un athlète sur le ring ?

Cyril Benzaquen répond à toutes ces questions, l’occasion de débunker des clichés autour des sports de combat.

************************************

Retrouvez chaque semaine une nouvelle vidéo et quatre nouveaux shorts sur notre chaîne. #staycurious 

Nous suivre sur nos réseaux sociaux :
- Instagram : http://expl.tv/Instagram 
- TikTok : http://expl.tv/TikTok
- Facebook : http://expl.tv/Facebook
- Snapchat : http://expl.tv/Snapchat",UC4M0_pdWJeWRrHigdXOJ0AQ,27,fr,Explore Media,2025-09-25T18:26:43Z,PT23M27S,830807,18368,559,18927,2.278146428713287,0 days 00:23:27,1407
QRUls8p5O2U,Donne ton avis dans les commentaires #humor #drole #divertissement #shorts,"🔥 Bienvenue sur ma chaîne de divertissement !
🎉 Humour, fun, lifestyle, et bonne vibe au rendez-vous.

👉 Abonne-toi et active la cloche 🔔 pour ne rien rater !
📩 Partenariats / Collab : katchanaparis2@gmail.com

#humour #drôle #divertissement #fouRire #buzz #fun #vidéodrôle #rire #shorts #YouTubeShorts #tendance #humourfrançais #humourafricain #momentdrôle #contenudrole #blague #sketch #shortvideo #pourtoi #fyp #viral #comédie #funny #laugh #trending

humour, drôle, divertissement, vidéos drôles, vidéos comiques, fun, fou rire, sketch, blague, short video, humour 2025, vidéo virale, buzz, rire, moments drôles, humour africain, humour français, humour du quotidien, situation marrante, contenu drôle, youtube shorts, vidéo courte, humour tendance, nouvelle vidéo drôle, trending short",UCCQmQu_hEOWdTpNiRZbpuCA,24,fr,Katchana Paris,2025-04-20T11:00:39Z,PT59S,519,4,1,5,0.9633911368015413,0 days 00:00:59,59
aDrp3L9OWfk,Triangle Food Challenge for 24 Hours 😱,,UC2Ea10yTz9X0lDjIeNCNXeQ,22,hi,Atrangi Vishi ,2025-12-07T12:45:00Z,PT26S,1564984,14480,26,14506,0.9269104348670657,0 days 00:00:26,26
an0qm_MJGNI,Mission ₹500 Challenge 💸 | Street Shopping in Pune’s Tulshi Baug | Mad for Fun,"Mission ₹500 begins! 💪🛍️
Two teams hit the bustling streets of Tulshi Baug, Pune for the ultimate Street Shopping Challenge!
It’s Sahil & Praja vs. Aparna & Satyam, and they’ve got:
💸 A total budget of ₹500
🕒 Just 30 minutes
⚡ And one rule — every item must cost ₹50 or less!
From bargaining battles to hilarious discoveries, this street mission is full of chaos, creativity, and some unbelievable finds! 😂

Who will emerge as the ultimate Street Shopping Champion? Watch till the end to find out! 

#MadForFun #StreetShoppingChallenge #Mission50 #BudgetChallenge #FunChallenge #StreetShopping #PuneVibes #ChallengeVideo

Follow us on ⚡-
Instagram - https://instagram.com/madforfunofficial?
Facebook - https://www.facebook.com/MadForFunIndia?
-----------------------------------------------------------
Our Other Channels- 

Shorts Break - https://www.youtube.com/@ShortsBreak_Official/shorts

SquareCut Music - https://www.youtube.com/@SquareCut/videos

Kay Vishay  - https://www.youtube.com/@kayvishay

Wait For it  - https://www.youtube.com/@WaitForIt_Official

Take A Break - https://www.youtube.com/@TakeABreakOfficial",UCAVoEfJzsOPs5WUcKwb12vg,24,hi,Mad For Fun,2025-10-19T04:30:03Z,PT14M14S,554107,8008,139,8147,1.4702936436464438,0 days 00:14:14,854
